subject,seizure_id,window,band,method,matrix_file,mean_connectivity,density,clustering_coefficient,global_efficiency,characteristic_path_length,small_worldness,modularity,mean_betweenness_centrality,assortativity,threshold_density,threshold_weight,negative_edge_fraction,n_zero_edges_after_cleaning,n_nodes,n_possible_edges,n_edges,is_connected,n_components,largest_component_size,n_random_graphs,random_seed,python_version,numpy_version,pandas_version,networkx_version
chb13,chb13_sz01,Baseline,alpha1,aec,chb13_sz01_Baseline_alpha1_aec.npy,0.4310789316529989,0.20346320346320346,0.21681591723171556,0.2641872201950993,4.738530061872198,1.5067671101483096,0.4253327663238259,0.070995670995671,0.11057168334489254,0.2,0.46236406965489324,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,alpha1,coherence,chb13_sz01_Baseline_alpha1_coherence.npy,0.3766135304126305,0.20346320346320346,0.19627572689384196,0.23258032867662118,5.242412668381382,2.1425088084387323,0.40134763744288565,0.06385281385281386,-0.012608642428695242,0.2,0.38607381364714916,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,alpha1,wpli,chb13_sz01_Baseline_alpha1_wpli.npy,0.10640744725069358,0.20346320346320346,0.13256113158784721,0.12235769938972677,10.059494014526232,1.2399100626961193,0.33487771906193403,0.06493506493506494,0.030261348005503022,0.2,0.17066540511279396,0.0,1,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,alpha2,aec,chb13_sz01_Baseline_alpha2_aec.npy,0.2807175771389188,0.20346320346320346,0.1463673911848733,0.1989608867120404,6.2025492635162705,1.8618566792491438,0.4713539230127606,0.06298701298701298,-0.16489143793527322,0.2,0.3040849012641895,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,alpha2,coherence,chb13_sz01_Baseline_alpha2_coherence.npy,0.3792155823980155,0.20346320346320346,0.1593500433709117,0.23306588657374125,5.227509031246083,1.83587704123681,0.3929088716830902,0.06493506493506493,0.09065217391304205,0.2,0.38581899680982146,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,alpha2,wpli,chb13_sz01_Baseline_alpha2_wpli.npy,0.0853115122907515,0.20346320346320346,0.1177895114922443,0.10095359793249939,12.287533899621371,0.9426246699570175,0.37459088606692237,0.07077922077922079,-0.0869783810960269,0.2,0.14340536585619337,0.0,1,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,beta1,aec,chb13_sz01_Baseline_beta1_aec.npy,0.14230717651706234,0.20346320346320346,0.1864692546783302,0.12669648404398742,12.641307874569133,2.001975897556736,0.5768053529534997,0.11709956709956713,0.33599508599508404,0.2,0.17642955937163787,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,beta1,coherence,chb13_sz01_Baseline_beta1_coherence.npy,0.38033098096025986,0.20346320346320346,0.279516811223399,0.21643002520917887,6.197281313924089,2.526876558172791,0.5170389525674453,0.08506493506493507,0.28236559139784695,0.2,0.38546725908078405,0.0,0,22,231,47,True,1,22,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,beta1,wpli,chb13_sz01_Baseline_beta1_wpli.npy,0.08493814476204709,0.20346320346320346,0.2010350855966272,0.09326933035538253,10.815994831600596,1.3518547596344652,0.33841898722095176,0.047835497835497835,-0.04958578460799713,0.2,0.12821614344287857,0.0,1,22,231,47,False,3,20,20,42,3.11.9,2.4.4,3.0.2,3.6.1
chb13,chb13_sz01,Baseline,beta2,aec,chb13_sz01_Baseline_beta2_aec.npy,0.1542065902795826,0.20346320346320346,0.1820659472076339,0.1345767697444675,10.460195923676794,1.7975040802997557,0.513332116455366,0.07900432900432902,-0.008750206372792398,0.2,0.1900621186590103,0.0,0,22,231,47,False,2,21,20,42,3.11.9,2.4.4,3.0.2,3.6.1
